Unnamed: 0,ids,title,article
0,https://docs.searchunify.com/Content/Search-Tuning/Auto.htm,Auto Tuning,"How Auto Tuning Works and Its Features Relevancy is the common thread uniting your diverse users who, irrespective for their role and goal, expect fast and relevant results which is tricky to deliver because relevancy means different things to different users. A developer is rarely concerned with how many documents there are on a knowledge base. If a search for ""analytics"" does not return API documentation on the first page, then the results are irrelevant to him. On the contrary, admins tends to be more interested in reports. If a search engine cannot navigate an admin to reports documentation, then its results are irrelevant to the admin. Auto Tuning helps admin cater both the developer and the admin simultaneously. Auto Tuning transforms SearchUnify into a context-aware search engine that does much more than connecting a search query with documents. It takes into account a user's profile, search history, permissions, and several other factors to return results that more unique and relevant at the same time. An admin can enhance user experience significantly using Auto Tuning's four features: Auto Boosting, Enable Auto Spell Correcter, Facet Interpreter, and Rich Snippets. How Auto Tuning Works Auto Tuning keeps a record of user activity and analyzes the data thus collected to identify patterns. The patterns are then used to change the order of search results for individual users based on their activity. The diagram captures user journey. User 1 creates four sessions whose data is stored and analyzed in SearchUnify's machine learning engine. The engine compares User 1's activities with other searchers to find behavioral similarity. Once a threshold for behavioral similarity is reached, SearchUnify starts personalizing results. In the figure, User 1 gets more relevant results in the fifth session. Based on the analysis of the first four sessions, SearchUnify tries to deliver more relevant results. Then in a sixth session, the activities of the first five sessions are considered. And it goes on and on. The activities' of User 1 have no impact on the results of User 2 unless both happen to have similar search journeys. Search results of User 2 are personalized based on the data processed from his own activity. Features Enable Auto Boosting. Machine learning kicks in when Auto Tuning is turned on. Toggle Enable Auto Tuning to the right to get started. Enable Auto Spell Corrector. Teach the terms specific to your business to SearchUnify by connecting it with a content source. If SearchUnify is aware of your organizational terminology (which can be markedly unique), it will recognize those terms in search queries and never show incorrect suggestions. For example, ""Salesforce"" will never be corrected to ""sales force."" Enable Facet Interpreter. Improve search experience by automatically applying filters. When turned on and connected with a content source, SearchUnify improves user experience by applying filters behind the scenes each time a search query matches a facet value. For example, a search for ""Mark Twain"" on an online bookshop will fetch five extra results if ""Mark Twain"" is also a filter value in the Authors filter. Enable Rich Snippets. Provide answers to how-to kind of queries right on the search page by extracting lists or steps from relevant articles. Toggle Enable Rich Snippets to turn on. No other configuration is required."
1,https://docs.searchunify.com/Content/Search-Tuning/Enable-Facet-Interpreter.htm,Enable Facet Interpreter,"Enable Facet Interpreter Counterintuitive although it may sound, you can actually get relevant results faster by narrowing the search scope. A search for ""API"" on the SearchUnify Docs website produces 78 results, many of which might be of little use to a developer looking for a list of endpoints or documentation on what is a valid argument in a POST call. By checking the facet Developer Guides, the programmer can obtain fewer but highly targeted results. Here's a comparison. Facets are a useful weapon in a searcher's toolkit if they use them. Many users don't. With Enable Facet Interpreter, admins can enable users to view faceted search results even when users themselves don't explicitly check a facet value. As the rest of the article explains, the approach has many pros and no downside. How Enable Facet Interpreter Works Enable Facet Interpreter compares search queries with facet values. In Figure 2, a user searches ""jira"", which also happens to be a facet value in Topic. If Enable Facet Interpreter is turned on and configured for the content type Topic, then the searcher will find up to five more results on the first search results page. The extra results are those which the user would have gotten by checking the facet value ""jira."" Figure 2. Impact on User Experience More and relevant results. Instead of replacing regular results with faceted results, Enable Facet Interpreter provides as many as five extra faceted results on the first search results page. As choice increases, so does user satisfaction. Control. Admins can configure which facet values to recognize from search queries. On a search client with three filters: Tags, Date, and Author Name, an admin can set up Enable Facet Interpreter in such a way that only author names are detected as facet values from search queries. Any matches with tags and dates are ignored. Turn On Enable Facet Interpreter Select a search client where auto boosting will be applied. To auto-pick a search client each time you navigate to Search Tuning, click to bookmark it. Toggle Enable Facet Interpreter to turn it on. Now, select content fields to double as facets. For instance, if you want to use authors as facets and all author names are stored in a content field, then use to open a window and specify that content field. Click to launch a window where you can select content sources. Select the content source, content type, and content fields and click Add. Click after you are done. Click Train Facet Interpreter. Important For Enable Facet Interpreter to work, an admin has to both toggle the feature on and specify the content fields that will be recognized as valid filters."
2,https://docs.searchunify.com/Content/Search-Tuning/Enable-Rich-Snippets.htm,Enable Rich Snippets,"Enable Rich Snippets and Rich Cards Rich Snippets and Rich Cards enrich user experience when an end-user wants definitions, tips from instructional articles, images, and videos right on the search results page. It is capable of extracting four kinds of data from HTML pages: Facets. Short answers consisting of a word or an entire sentence. Example: For the query [searchunify mamba '21 release date], Facets provides the date ""October 29, 2020"". Instructions. Ordered (ol) and bullet (ul) lists. This facet is triggered by questions starting with ""How to."" Example: In response [to how to setup virtual agent in searchunify], Instructions tells you how to start. Images. Pictures where they are relevant and exist. PNG, JPEG, JPG, and other major formats are supported. Example: Images responds with three pictures in answer to the search query [searchunify apps]. Videos. Tutorial, demonstration, and other videos where they exist and are relevant. MP4, HTML5, and other major formats are supported. Example: For the query [virtual agent], you can see a video right inside a rich snippet. Turn on Enable Rich Snippets To activate this feature on a search client, turn on Enable Rich Snippets from Auto Tuning in Search Tuning. Before turning on Enable Rich Snippets, ensure that you have the correct search client in Select Search Client. Select a search client where auto boosting will be applied. To auto-pick a search client each time you navigate to Search Tuning, click to bookmark it. Toggle Enable Rich Snippets to the right to turn it on. To turn off rich snippets, select a search client and toggle Enable Rich Snippets to the left. Best Practices for Writers Writers can arrange their content to ease extraction and display. Lists Convey essential information in the first 3-4 points Keep each bullet point to a maximum of 80 characters Avoid using MadCap Flare snippets Cover the main points in the first list (Applies when there are more than one lists on a page) Use <ol> and <ul> tags Images Place images near the main heading (H1) Use matching file names (image_name.png) and alt attributes Use similar image titles and alt attributes Write page titles and meta descriptions Compress images using scrset and src attributes Crawl the images XML sitemap as well Related Configure a Knowledge Graph"
3,https://docs.searchunify.com/Content/Search-Tuning/Intent-Tuning.htm,Intent Tuning,"Intent Tuning If you have limited keywords to boost, say 50, Keyword Boosting can help you out. But what if you have to handle boosting for 5000 keywords and synonyms? Intent tuning saves the day in such scenarios as it allows you to put a custom rank on a document for hundreds of thousands of similar queries. Similar keyword clusters are grouped together as Utterances within an Intent and hence, relevant results are displayed for the user by detecting their search intent from a query. Intent data is drawn from Intent Dictionary in NLP Manager where various intents can be created manually or through smart Intent Suggestions. This data is utilized to implement tuning for a desired intent of search queries. Select a Search Client for Manual Tuning Manual Tuning is not universal. You can apply is to one search client without making having any impact on others. To get started, pick the search client where tuning is going to be applied. From Search Tuning, go to Manual. Select a search client where Manual Tuning is going to be applied. When there are multiple search clients in a SearchUnify instance and your job is to apply manual tuning to only one of them, you can bookmark your search client by clicking in the Select Search Client dropdown. Enable Intent Tuning Turn on Boost Document for Intent. Search the query you wish to boost the documents for. Then, click Add Intent for a document. On clicking Add Intent, a dialog appears where you can pick an intent from the Select Intent dropdown. In the image, salesforce has been picked. Click Add. To boost a document for more than one intent, simply pick them from the Select Intent dropdown, and click Add. Once you are done, click assign a rank for each intent and click Save. If you see a confirmation message, the document has been boosted for the selected intent(s) successfully. To double-check, search the query again. If you see the Boosted tag, your document has been successfully tuned. You can click on the Boosted Documents button to view the list of all the documents that are currently boosted based on Intent. You can click under the Action column to delete the boosting for a document or edit its rank through the Rank dropdown."
4,https://docs.searchunify.com/Content/Security/IP-Restrictions.htm,IP Restrictions,"Whitelist IPs to Access Search Client Results You can restrict access to SearchUnify's results to specific IPs. This feature is useful for organizations wanting to restrict their readership to employees and clients, or another small set of audience. To Restrict Access to an IP Log into SearchUnify as an admin. Hover over the sidebar and click Security. Enter an IP address. Choose from Permission the directories the IP address is allowed to access."
5,https://docs.searchunify.com/Content/Virtual-Agent/Activate-Zendesk-Adapter.htm,Activate Zendesk Adapter,"Obtain Account Key and Activate Zendesk Adapter One of the prerequisites to configuring Zendesk Adapter is to activate it. This article shows how it's done. Prerequisites Access to Zendesk Chat Obtain Account Key Log into Zendesk Chat, expand profile settings (1), and click Check Connection (2). Copy the Account Key. Activate Zendesk Adapter Go to Virtual Agent from main navigation. Click to view chatbot settings. In Adapters, click Zendesk. Paste the Account Key in the dialog and save."
6,https://docs.searchunify.com/Content/Virtual-Agent/Chat-Transcript.htm,Dig Into Sessions with Chat Transcripts,"Dig Into Sessions with Chat Transcripts Chat Transcript gives you a detailed overview of the sessions in which virtual agent is used. It relies on analytics data to show you the stories having the greatest impact on client satisfaction (measured by successful and unsuccessful sessions) and which stories and intents the admin needs to update. The chart includes eight columns, three filters and a search box. Columns Description Details Session ID The search session ID in which an end-user engages with the virtual agent. This column is searchable. Use the Search by Session ID search box to find a particular session. You can view details on each chatbot session by clicking a Session ID. Intents Used The total number of intents triggered in a chat session. You can filter sessions by intents. To find all the sessions in which a specified intent is triggered, check that intent from the Select Intent dropdown. Last Modified (UTC) This is the time when either an end-user or the virtual agent sent their last message of a chat session. Sessions are arranged by Last Modified in Chat Transcript. Coverage Coverage is the ratio of intents triggered to free utterances. A free utterance is a text input. Clicking on a link or selecting an option is an utterance but not free utterances. Only those utterances are free utterances in which a user inputs text. Clicking ""Content Sources"" is an utterance. Typing ""Content Sources"" is a free utterance. High coverage means that chatbot stories can answer most user queries. Low coverage means that new stories and intents have to be added to answer end-user queries. You can filter chat sessions within a specific coverage range from Range of Coverage%. For example, 70-100 pulls out sessions that have a coverage rate between 70% and 100%. Handover The value is Yes if an end-user connects with a human agent during a chat session. The value is No if the end-user doesn't connect with a human agent during a chat session. This column is not visible if you haven't configured Handover for Salesforce or Zendesk. Successful The value is Yes if a conversation is successful on all the criteria defined in Settings, else the value is No. For information on the available criteria and what they mean, consult Creative ways to measure virtual agent success. User Feedback This column can have two values: View and N/A. View is a link. It opens a dialog, where you can find a list of the stories on which virtual agent received feedback, the actual feedback (thumbs up or thumbs down), and the optional message if the feedback is thumbs down. View is replaced by N/A when there is no feedback shared in a conversation session. Action This feature is used to email transcript. Except for feedback messages, idle user messages, and live chat, all the details in the Chat Transcript report are emailed as a .txt file. No Records Are Available This is the message displayed in Chat Transcript when no sessions are available for the select filters over the specified date range."
7,https://docs.searchunify.com/Content/Virtual-Agent/Response-Type-Selection.htm,Get to Know Virtual Agent Response Types: Selection,"Get to Know Virtual Agent Response Types: Selection The category Selection offers two response types: Options and Prompt. Options allows an end-user to select one of the predefined input and Prompt allows end-users to compose their own input. Let's review each type. Options Options come in handy in guided conversations, where the user can go down one of the few selected tracks. Options are useful when you, let's say, want to know about the customer's interest in a product and there are only three products: A, B, and C. You can create three nodes for A, B, and C respectively and insert them as options in Configure Response. Unlike other response types, Options can be added only once to a node. Sticking with our example, if A, B, and C are added to node X, then a user clicking any of those products exits node X and moves to the selected node. Click Add Response Type and click Options in Selection. For the first option, enter Node Label and Node Name. If this option is selected, then the end user will be directed to the node whose Label and Name have been specified. Synonyms offer an alternative to selecting nodes. An Admin can type either the Node Label or its value in Synonyms and still be directed to the specified node. Check Disable User If user input is disabled, the end-user cannot type and has to select one of the given options. Sticking to our example, the end-user can select A, B, or C but cannot type. It means that synonyms get disabled in this scenario. To use the selected option later, you can store it into memory. Toggle on Bot Memory to start. Bot Memory is a method to save user’s input for the option response. This can be saved in already existing entity or a new variable. When Bot Memory is toggled on, a new form appears where you can choose to connect the memory with an Entity or a Variable. Finally, you can check Skip if Entity Already Extracted. On checking, the Bot Memory isn't troubled when entity has already been discovered through previous messages from the end-user. In that case, Options responses are skipped if entity is already extracted from utterance or previous responses. NOTE: If the system entity date is selected in bot memory then the end users should input (if text input is available) in the valid date format. NOTE. Entities and variables are reset when the current chatbot story ends i.e. they are re-initialised every time a story is triggered. Prompt While Options guides a conversation by giving an end-user a choice between predefined paths, Prompt brings creativity to the fore. An end-user can type their way to a solution. The virtual agent automatically detects the entities in the end-user responses and replies accordingly. Bot memory is the same as options. Same entity cannot be used more than once for the prompts and options. If an entity is selected in bot memory then it is extracted from the prompt response. Otherwise the entire response is saved in variable. You can skip one or all prompts based on the entities extracted previously in the story. To use Prompt as a response, click Add Response and select Prompt. In the Prompt field in Configure Response, write a message for the end-user, who can read the message and reply to it. The reply is going to be stored. Optionally, check Req. if you want the end user to answer. The conversation doesn't proceed until the end-user has answered to the prompt. You can store the end-user reply in Bot Memory either as an Entity or as a Variable. If you check Skip if Entity Already Extracted. On checking, the Bot Memory isn't troubled when entity has already been discovered through previous messages from the end-user. NOTE: An admin to add entity correctly and add as many synonyms as possible so that the bot can easily extract them. Any value of the entity not available is not detected by the bot e.g. location entity has values only Tokyo and London then bot does not identify if the user enters the location as Moscow. Add or Delete a Response on a Node An admin can insert multiple responses into a node. When business requirements change, the admin can add or delete a response. To add a response to an existing node, click Add a Response and remove an existing response, click . The function is at the extreme right of each response. Once you have made the changes, scroll up and Save them. Change Response Order A node can house two or more responses. In the default set-up, the latest response ends up on top. But you can change the default order. Use to drag responses up and down. Once you have made the changes, scroll up and Save them."
8,https://docs.searchunify.com/Default.htm,,
9,https://docs.searchunify.com/Default.mcwebhelp,,
